lastname,firstname,username,email,streetaddress,city,state,department,password,telephone_perso,telephone_pro,jobtitle,company,ou,Responsable,dateofbirth
Moron,Gwendoline,moron.gwendoline,moron.gwendoline@equipe1B.local,38 Rue de Passy,Nice,,,@SuperMDP062#,0689744600,0106058000,Présidente,512Bank,"OU=Présidence,OU=512Direction,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",,19880502
Gorisse,Thomas,gorisse.thomas,gorisse.thomas@equipe1B.local,4 Rue des Martyrs,Nice,,,@SuperMDP062#,0689744601,0106058001,Directeur général,512Bank,"OU=Direction Général,OU=512Direction,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Moron,19920911
Fadda Rodriguez,Antoine,fadda.antoine,fadda.antoine@equipe1B.local,22 Rue de la Chapelle,Nice,,,@SuperMDP062#,0689744602,0106058002,Secrétaire général,512Bank,"OU=Secrétaire général,OU=512Direction,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Gorisse,19810315
Lefèvre,Clément,lefèvre.clément,lefèvre.clément@equipe1B.local,28 Rue des Petits Champs,Nice,,,@SuperMDP062#,0689744603,0106058003,Directeur général adjoint,512Bank,"OU=Direction Général Adj,OU=512Direction,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Gorisse,19720623
Maïstre-Rice,Antoine,maïstre.antoine,maïstre.antoine@equipe1B.local,11 Rue du Cherche-Midi,Nice,,,@SuperMDP062#,0689744604,0106058004,Directeur financier,512Bank,"OU=Direction,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lefèvre,19991101
Veillard,Corentin,veillard.corentin,veillard.corentin@equipe1B.local,24 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744605,0106058005,Directeur ressource humaines,512Bank,"OU=Direction,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lefèvre,19871210
Jiner,Léa,jiner.léa,jiner.léa@equipe1B.local,2 Rue des Capucines,Nice,,,@SuperMDP062#,0689744606,0106058006,Directrice technique et production,512Bank,"OU=Direction,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lefèvre,19760812
Caldwell,Raphaël,caldwell.raphaël,caldwell.raphaël@equipe1B.local,22 Rue de Passy,Nice,,,@SuperMDP062#,0689744607,0106058007,Directeur commercial,512Bank,"OU=Direction,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lefèvre,19910208
Beux,Arnaud,beux.arnaud,beux.arnaud@equipe1B.local,6 Rue de la Montagne Sainte-Geneviève,Nice,,,@SuperMDP062#,0689744608,0106058008,Directeur administratif et juridique,512Bank,"OU=Direction,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lefèvre,20001005
Lacroix,Baptiste,lacroix.baptiste,lacroix.baptiste@equipe1B.local,10 Rue des Petits Champs,Nice,,,@SuperMDP062#,0689744609,0106058009,Responsable recherche et développement,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jiner,19850212
Shakira,Anabelle,shakira.anabelle,shakira.anabelle@equipe1B.local,18 Rue de la Villette,Nice,,,@SuperMDP062#,0689744610,0106058010,Responstable juridique,512Bank,"OU=Secteur Juridique,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Beux,19900103
Lacombe,Titouan,lacombe.titouan,lacombe.titouan@equipe1B.local,6 Rue de la Montagne Sainte-Geneviève,Nice,,,@SuperMDP062#,0689744611,0106058011,Responsable logistique,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jiner,20000125
Harish,Benoit,harish.benoit,harish.benoit@equipe1B.local,20 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744612,0106058012,Responsable de paie,512Bank,"OU=Secteur Paie,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Maïstre-Rice,19750709
Jean,Jean,jean.jean,jean.jean@equipe1B.local,42 Rue Saint-Antoine,Nice,,,@SuperMDP062#,0689744613,0106058013,Responsable administration,512Bank,"OU=Secteur Administratif,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Beux,19930422
Musk,Elon,musk.elon,musk.elon@equipe1B.local,32 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744614,0106058014,Responsable gestion du personnel,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Veillard,19820418
Genti,Laura,genti.laura,genti.laura@equipe1B.local,9 Rue de la Madeleine,Nice,,,@SuperMDP062#,0689744615,0106058015,Responsable recrutement,512Bank,"OU=Secteur recrutement,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Veillard,20010114
Marie,Julien,marie.julien,marie.julien@equipe1B.local,7 Rue des Lilas,Nice,,,@SuperMDP062#,0689744616,0106058016,Responsable produit,512Bank,"OU=Secteur recrutement,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Caldwell,19830302
Dion,Céline,dion.céline,dion.céline@equipe1B.local,30 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744617,0106058017,Responsable marketing,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Caldwell,19890620
Roger,Bernard,roger.bernard,roger.bernard@equipe1B.local,13 Rue de la Convention,Nice,,,@SuperMDP062#,0689744618,0106058018,Responsable comptabilité,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Maïstre-Rice,19960128
Stark,Adele,stark.adele,stark.adele@equipe1B.local,14 Rue de la Paix,Nice,,,@SuperMDP062#,0689744619,0106058019,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,19840719
Aubiné,Agnès,aubiné.agnès,aubiné.agnès@equipe1B.local,25 Rue du Faubourg Saint-Honoré,Nice,,,@SuperMDP062#,0689744620,0106058020,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19800321
Thore,Aka,thore.aka,thore.aka@equipe1B.local,8 Rue des Martyrs,Nice,,,@SuperMDP062#,0689744621,0106058021,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19930903
Terrieur,Alain,terrieur.alain,terrieur.alain@equipe1B.local,16 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744622,0106058022,Employé,512Bank,"OU=Secteur Juridique,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Genti,20021127
Laforge,Albert,laforge.albert,laforge.albert@equipe1B.local,31 Rue de Turenne,Nice,,,@SuperMDP062#,0689744623,0106058023,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19831223
Terrieur,Alex,terrieur.alex,terrieur.alex@equipe1B.local,12 Rue Saint-Antoine,Nice,,,@SuperMDP062#,0689744624,0106058024,Employé,512Bank,"OU=Secteur Administratif,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jean,19740525
Bisson,Alexia,bisson.alexia,bisson.alexia@equipe1B.local,7 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744625,0106058025,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19980215
Benoît,Alexis,benoît.alexis,benoît.alexis@equipe1B.local,23 Rue de Passy,Nice,,,@SuperMDP062#,0689744626,0106058026,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19710611
Tate,Andrew,tate.andrew,tate.andrew@equipe1B.local,9 Rue de Belleville,Nice,,,@SuperMDP062#,0689744627,0106058027,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,20010922
